Radical number	Radical	Pinyin	Strokes	Meaning
1	一	yī	1	One
2	丨	gǔn	1	Vertical Line
3	丶	zhǔ	1	Dot
4	丿	piě	1	Slash
4	乀	piě	1	Slash
4	乁	piě	1	Slash
5	乙	yǐ	1	Second
5	乚	yǐ	1	Second
6	亅	jué	1	Hook
7	二	èr	2	Two
8	亠	tóu	2	Lid
9	人 	rén	2	Person
9	 亻	rén	2	Person
10	儿	rén	2	Child / Legs
11	入	rù	2	Enter
12	八 	bā	2	Eight
12	丷	bā	2	Eight
13	冂	jiōng	2	Down box
14	冖	mì	2	Cover
15	冫	bīng	2	Ice
16	几	jǐ	2	Table
17	凵	qiǎn	2	Open box
18	刂 	dāo	2	Knife
18	刁	dāo	2	Knife
18	刀	dāo	2	Knife
19	力	lì	2	Strength / Power
20	勹	bāo	2	Wrap
21	匕	bǐ	2	Dagger
22	匚	fāng	2	Right open box
23	匸	xì	2	Hiding enclosure
24	十	shí	2	Ten
25	卜	bǔ	2	Divination
26	卩	jié	2	Seal/Joint
27	厂	hǎn	2	Cliff/House
28	厶	mǒu/sī	2	Private
29	又	yòu	2	Hand / Again
30	口	kǒu	3	Mouth / Opening
31	囗	wéi	3	Enclosure
32	土	tǔ	3	Earth / Soil
33	士	shì	3	Soldier / Scholar
34	夂	zhǐ	3	Go
35	夊	suī	3	Go slowly
36	夕	xī	3	Night
37	大	dà	3	Big
38	女	nǚ	3	Woman / Female
39	子	zǐ	3	Child / Son
40	宀	mián	3	Roof
41	寸	cùn	3	Inch
42	小	xiǎo	3	Small
42	⺌	xiǎo	3	Small
42	⺍	xiǎo	3	Small
43	尢	wāng	3	Lame
44	尸	shī	3	Corpse
45	屮	chè	3	Sprout
46	山	shān	3	Mountain / Hill
47	川 	chuān	3	River
47	巛	chuān	3	River
48	工	gōng	3	Work
49	己	jǐ	3	Self
50	巾	jīn	3	Towel
51	干	gān/gàn	3	Dry / Do
52	幺	yāo	3	Youngest / Small
53	广	guǎng	3	Shelter / Broad
54	廴	yǐn	3	Stride
55	廾	gǒng	3	Hands joined
56	弋	yì	3	Shoot with a bow
57	弓	gōng	3	Bow
58	彐 	jì	3	Snout
58	彑	jì	3	Snout
59	彡	shān	3	Hair
60	彳	chì	3	Step
61	忄	xīn	3	Mental
61	心 	xīn	4	Heart / Mind
62	戈	gē	4	Spear
63	户	hù	4	Door
63	戶	hù	4	Door
64	扌	shǒu	3	Hand
64	手	shǒu	4	Hand
65	支	zhī	4	Branch
66	攴	pū	4	Rap/Beat
66	攵	pū	4	Rap/Beat
67	文	wén	4	Script
68	斗	dǒu	4	Vessel / Struggle
69	斤	jīn	4	Axe / pound
70	方	fāng	4	Square
71	无	wú	4	Not / None
71	旡	jì	4	Choke on something eaten
72	日	rì	4	Sun
73	曰	yuē	4	Say
74	月	yuè	4	Moon
75	朩	mù	4	Tree
75	木	mù	4	Tree / Wood / Plant
76	欠	qiàn	4	Lack
77	止	zhǐ	4	Stop
78	歹	dǎi	4	Death
79	殳	shū	4	Weapon
80	母	mǔ	5	Mother
81	比	bǐ	5	Compare
82	毛	máo	4	Hair / Fur
83	氏	shì	4	Clan
84	气	qì	4	Gas / Steam
85	氵	shuǐ	3	Water
85	水	shuǐ	4	Water / Liquid
85	氺	shuǐ	5	Water
86	火	huǒ	4	Fire
86	 灬	huǒ	4	Fire
87	爪 	zhǎo	4	Claw
87	爫	zhuǎ	4	Claw
88	父	fù	4	Father
89	爻	yáo	4	Lines on a trigram
90	爿	pán	4	Half of a tree trunk
91	片	qiáng	4	Slice
92	牙	yá	4	Tooth
93	牛	niú	4	Cow
93	 牜	niú	4	Cow
93	⺧	niú	4	Cow
94	犭	quǎn	3	Animal
94	犬	quǎn	4	Dog
95	玄	xuán	5	Profound
96	王	wáng 	4	King 
96	玉	yù	5	Jade
97	瓜	guā	5	Melon
98	瓦	wǎ	4	Tile
99	甘	gān	5	Sweet
100	生	shēng	5	Life
101	用	yòng	5	Use
102	田	tián	5	Field
103	疋	pǐ	5	Foot
103	 𤴔	pǐ	5	Foot
104	疒	nè	5	Sick
105	癶	bō	5	Unbalanced footsteps
