Radical number,Radical,Pinyin,Meaning,Strokes,Traditional,Examples
1,一,yī,One,1,,丁 万 上 下
2,丨,gǔn,Vertical Line,1,,个 中 丰 串 临
3,丶,zhǔ,Dot,1,,丸 义 丹 为 主
4,丿,piě,Slash,1,,乂 乃 乎
4,乀,piě,Slash,1,,飞
4,乁,piě,Slash,1,,
5,乙,yǐ,Second,1,,九 乞 
5,乚,yǐ,Second,1,,乩 乱
6,亅,jué,Hook,1,,了 争 事
7,二,èr,Two,2,,亍 于 云 五 亚
8,亠,tóu,Lid,2,,亡 亢 交 产 京
9,人 ,rén,Person,2,,众丛
9, 亻,rén,Person,2,,你 他 仕 仙 例
10,儿,rén,Child / Legs,2,,兀 元 兄 先 克
11,入,rù,Enter,2,,內 全 氽
12,八 ,bā,Eight,2,,兮 公  兴
12,丷,bā,Eight,2,,兰 关
13,冂,jiōng,Down box,2,,内 冋 再 冏 最
14,冖,mì,Cover,2,,写 军 农
15,冫,bīng,Ice,2,,冰 况 冼 凊
16,几,jǐ,Table,2,,凡 凤
17,凵,qiǎn,Open box,2,,凶 凸 凹 出 击
18,刂 ,dāo,Knife,2,,划 刚
18,刁,dāo,Knife,2,,
18,刀,dāo,Knife,2,,刅 分 切 
19,力,lì,Strength / Power,2,,劝 办 加 务 动
20,勹,bāo,Wrap / embrace,2,,勺 勾 匀 包
21,匕,bǐ,Dagger,2,,化 北 匙
22,匚,fāng,Right open box,2,,匛 匤 匡 匢 匜
23,匸,xì,Hiding enclosure,2,,匹 区 医 匼
24,十,shí,Ten,2,,千 升 午 半
25,卜,bǔ,Divination,2,,卟 占 卡 卢 卤
26,卩,jié,Seal/Joint,2,,卫 卬 卯 印 却
26,㔾,jié,Seal ,2,,
27,厂,hǎn,yard / factory,2,,厄 厅 历 厉
28,厶,mǒu/sī,Private,2,,去 县 参
29,又,yòu,Right Hand / Again,2,,叉 友 双 发 受
30,口,kǒu,Mouth / Opening,3,,吃 叹 品 吵 叫
31,囗,wéi,Enclosure / boundary,3,,围 团 国 囚 困
32,土,tǔ,Earth / Soil,3,,在 地 城 地 型
33,士,shì,Soldier / Scholar,3,,壮 仕 壬 声 志
34,夂,zhǐ,Go,3,,处 复 备 冬
35,夊,suī,Go slowly,3,,夌 复 変
36,夕,xī,Night / sunset,3,,外 多 夜 夠
37,大,dà,Big,3,,天 太 夫 央 头
38,女,nǚ,Woman / Female,3,,妈 好 始 姓 安
39,子,zǐ,Child / Son / seed,3,,孔 字 季 学 孩
40,宀,mián,Roof,3,,宁 它 安 定 容
41,寸,cùn,Inch,3,,对 寺 寻 寿 导
42,小,xiǎo,Small / insignificant,3,,少 尔
42,⺌,xiǎo,Small,3,, 尚 尝
42,⺍,xiǎo,Small,3,,学觉
43,尢,wāng,Lame,3,,尤 尧 就 尴 尬
44,尸,shī,Corpse,3,,尼 尽 局 居 层
45,屮,chè,Sprout,3,,屯 屰
46,山,shān,Mountain / Hill,3,,岀 峰 岁 岛 岳
47,川 ,chuān,River,3,,州
47,巛,chuān,River,3,, 巡 巢
48,工,gōng,Work,3,,左 巧 巩 巫
49,己,jǐ,Self,3,,纪 记 忌 改
50,巾,jīn,Towel,3,,巿 币 市 师
51,干,gān/gàn,Dry / Do,3,,平 年 并 幸
52,幺,yāo,Youngest / Small,3,,幻 幼 幽
53,广,guǎng,Shelter / wide,3,,座 庄 床 店
54,廴,yǐn,Stride / structure,3,,延 廷 建
55,廾,gǒng,Hands joined,3,,开 异 弃 弄
56,弋,yì,Shoot with a bow,3,,式 弑
57,弓,gōng,Bow,3,,弟 引 张 弘 弯
58,彐 ,jì,Snout,3,,归 当 录 
58,彑,jì,Snout,3,,彖
59,彡,shān,Hair / ornament,3,,形 彦 彩 影
60,彳,chì,Step,3,,行 徐 律 很 往
61,忄,xīn,Mental / feeling,3,, 忙 快 忆
61,心 ,xīn,Heart / Mind,4,,必  忘
62,戈,gē,Spear,4,,我 成 戒 战 或
63,户,hù,Door / house,4,,房 扁 扇 扉
63,戶,hù,Door,4,,所 
64,扌,shǒu,Hand,3,,扔 扬 扛 扱 抱
64,手,shǒu,Hand,4,,拿
65,支,zhī,Branch,4,,攰 攱 攲
66,攴,pū,Rap/Beat,4,,
66,攵,pū,Rap/Beat,4,,收 改 政 故 敌
67,文,wén,Script / literature,4,,齐 斌 斑 斓 斋
68,斗,dǒu,Vessel / Struggle,4,,料 斛 斟 斜
69,斤,jīn,Axe / pound,4,,斧 断 斯 新 斩
70,方,fāng,Square,4,,施 旁 旋 旅 旗
71,无,wú,Not / None,4,,芜
71,旡,jì,Choke on something eaten,4,,既
72,日,rì,Sun / Day / Time,4,,时 早 明 是 晩
73,曰,yuē,Say,4,,曲 更 曾
,,,,,,
,,,,,,
75,朩,mù,Tree,4,,相 根 
75,木,mù,Tree / Wood / Plant,4,,森 林  本
76,欠,qiàn,Lack,4,,次 欢 欣 歆 欲
77,止,zhǐ,Stop,4,,正 此 步 武 歧
78,歹,dǎi,Death / decay,4,,死 歾 殃 殉 殆
79,殳,shū,Weapon,4,,段 殷 殴
80,母,mǔ,Mother,5,,每 毒
81,比,bǐ,Compare / compete,5,,毕 庇 毙
82,毛,máo,Hair / Fur,4,,毫 毡 笔 毯 毫
83,氏,shì,Clan,4,,民 氓
84,气,qì,Gas / Steam / breath,4,,氲 氧 氢
85,氵,shuǐ,Water,3,,海 河 湖 江 洗 泳
85,水,shuǐ,Water / Liquid,4,,永
